model,text_type,Accuracy@5,MMR@5,DCG@5,time
paraphrase-MiniLM-L3-v2,Изначальный,0.9216,0.8224,0.8321,70.2567
all-MiniLM-L6-v2,Изначальный,0.9636,0.9039,0.9094,119.9742
all-MiniLM-L12-v2,Изначальный,0.9587,0.9013,0.9075,221.1694
multi-qa-MiniLM-L6-cos-v1,Изначальный,0.9583,0.8883,0.8949,119.9261
paraphrase-multilingual-mpnet-base-v2,Изначальный,0.9196,0.8495,0.8582,601.4907
all-distilroberta-v1,Изначальный,0.9478,0.8723,0.8805,301.6539
multi-qa-distilbert-cos-v1,Изначальный,0.956,0.8995,0.9057,298.2505
multi-qa-mpnet-base-dot-v1,Изначальный,0.9524,0.8855,0.8937,647.0068
all-mpnet-base-v2,Изначальный,0.9682,0.9094,0.9167,655.855
all-MiniLM-L6-v2,Предобработаный,0.9327,0.8341,0.8427,133.3721
paraphrase-MiniLM-L3-v2,Предобработаный,0.9071,0.7994,0.8094,80.7885
all-MiniLM-L12-v2,Предобработаный,0.9255,0.8305,0.8387,265.1338
multi-qa-MiniLM-L6-cos-v1,Предобработаный,0.9241,0.8288,0.8367,181.836
paraphrase-multilingual-mpnet-base-v2,Предобработаный,0.8979,0.8078,0.8179,493.3991
all-distilroberta-v1,Предобработаный,0.9163,0.816,0.825,231.9146
multi-qa-distilbert-cos-v1,Предобработаный,0.9291,0.8369,0.8459,239.2234
multi-qa-mpnet-base-dot-v1,Предобработаный,0.9034,0.806,0.8164,513.5391
all-mpnet-base-v2,Предобработаный,0.9107,0.8077,0.8175,457.8491
