dr_id,question_1,question_2,label,question_1_length,question_2_length,processed_question_1,processed_question_2
1,After how many hour from drinking an antibiotic can I drink alcohol?,I have a party tonight and I took my last dose of Azithromycin this morning. Can I have a few drinks?,1,68,101,many hour drinking antibiotic drink alcohol,party tonight take last dose azithromycin morning drink
1,After how many hour from drinking an antibiotic can I drink alcohol?,I vomited this morning and I am not sure if it is the side effect of my antibiotic or the alcohol I took last night...,0,68,118,many hour drinking antibiotic drink alcohol,vomit morning sure side effect antibiotic alcohol take last night
1,Am I over weight (192.9) for my age (39)?,I am a 39 y/o male currently weighing about 193 lbs. Do you think I am overweight?,1,41,82,weight age 39,39 male currently weigh 193 lb think overweight
1,Am I over weight (192.9) for my age (39)?,What diet is good for losing weight? Keto or vegan?,0,41,51,weight age 39,diet good lose weight keto vegan
1,Aspirin allergy - is it worth getting a bracelet?,How much Aspirin can I take for my headache without causing any side effects?,0,49,77,aspirin allergy worth get bracelet,much aspirin take headache without cause side effect
1,Aspirin allergy - is it worth getting a bracelet?,My friend told me about this bracelet for Aspirin allergy. Does it work the way they say it does?,1,49,97,aspirin allergy worth get bracelet,friend tell bracelet aspirin allergy work way say
1,"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?",Is it okay if I use the same syringe for my insulin shot? I need to take it thrice a day.,0,146,89,doctor visit hit head box wall contain hazardous material use syrinx use needle get infected,okay use syringe insulin shot need take thrice day
1,"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?","Today morning, I had an appointment with the doctor. After that, I saw the nurse for a shot. As I got up, her box of tools fell all over me. She sent me home saying all is okay. But I am worried about an infection. Should I schedule another appointment for any blood tests?",1,146,273,doctor visit hit head box wall contain hazardous material use syrinx use needle get infected,today morning appointment doctor see nurse shoot get box tool fall send home say okay worried infection schedule another appointment blood test
1,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,"I am unable to get tooth extraction, my dentist is unable to give me anesthesia. Wouldn't antibiotics help with this since it has been going on for about 4-5 weeks? Should I go to ER?",1,148,183,antibiotics 4 5wk top high tooth dentist cld get needle 2 freeze 2 extract gum really hurt say tissue hve 2 go bk plz,unable get tooth extraction dentist unable give anesthesia would antibiotic help since go week go er
1,Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,Why do I have black teeth? Should I take antibiotics? Is this an infection?,0,148,75,antibiotics 4 5wk top high tooth dentist cld get needle 2 freeze 2 extract gum really hurt say tissue hve 2 go bk plz,black tooth take antibiotic infection
